event_type,frame_num,elapsed_us,calculated_timestamp_ms,actual_timestamp_ms,data_size_bytes,fps,audio_samples_total,video_packets_received,audio_packets_received,sequence_errors
audio,0,1398003,6389147,6387022,768,59.826,33984,1034,1319,0
audio,0,1402657,6389163,6387027,768,59.826,34176,1051,1320,0
video,41,1404971,6387035,6387029,368640,59.826,34176,1056,1320,0
video,42,1406407,6387000,6387030,276480,59.826,34176,1061,1321,0
audio,0,1406647,6389179,6387031,768,59.826,34368,1061,1321,0
audio,0,1411252,6389195,6387035,768,59.826,34560,1080,1322,0
audio,0,1414814,6389211,6387039,768,59.826,34752,1094,1323,0
audio,0,1419498,6389227,6387044,768,59.826,34944,1111,1324,0
video,42,1421603,6387051,6387046,368640,59.826,34944,1116,1324,0
video,43,1422914,6387017,6387047,276480,59.826,34944,1121,1325,0
audio,0,1423128,6389243,6387047,768,59.826,35136,1121,1325,0
audio,0,1426615,6389259,6387051,768,59.826,35328,1135,1326,0
audio,0,1431208,6389275,6387055,768,59.826,35520,1154,1327,0
audio,0,1434779,6389291,6387059,768,59.826,35712,1168,1328,0
video,43,1438098,6387068,6387062,368640,59.826,35712,1176,1328,0
video,44,1439510,6387033,6387064,276480,59.826,35712,1181,1329,0
audio,0,1439832,6389307,6387064,768,59.826,35904,1181,1329,0
audio,0,1442216,6389323,6387066,768,59.826,36096,1191,1330,0
audio,0,1446830,6389339,6387071,768,59.826,36288,1210,1331,0
audio,0,1451554,6389355,6387076,768,59.826,36480,1229,1332,0
video,44,1454805,6387085,6387079,368640,59.826,36480,1237,1333,0
video,45,1456015,6387050,6387080,276480,59.826,36480,1242,1333,0
audio,0,1456235,6389371,6387080,768,59.826,36672,1242,1333,0
audio,0,1459725,6389387,6387084,768,59.826,36864,1256,1334,0
audio,0,1463180,6389403,6387087,768,59.826,37056,1267,1335,0
audio,0,1466726,6389419,6387091,768,59.826,37248,1280,1336,0
audio,0,1470254,6389435,6387094,768,59.826,37440,1291,1337,0
video,45,1472470,6387102,6387096,368640,59.826,37440,1297,1337,0
video,46,1473865,6387067,6387098,276480,59.826,37440,1304,1337,0
audio,0,1475287,6389451,6387099,768,59.826,37632,1311,1338,0
audio,0,1479927,6389467,6387104,768,59.826,37824,1326,1339,0
audio,0,1483534,6389483,6387108,768,59.826,38016,1340,1340,0
video,46,1489075,6387118,6387113,368640,59.826,38016,1358,1341,0
video,47,1490417,6387083,6387114,276480,59.826,38016,1363,1342,0
audio,0,1490673,6389499,6387115,768,59.826,38208,1363,1342,0
audio,0,1490831,6389515,6387115,768,59.826,38400,1367,1342,0
audio,0,1495461,6389531,6387119,768,59.826,38592,1382,1343,0
audio,0,1499046,6389547,6387123,768,59.826,38784,1396,1344,0
